,year,region_description,area_description,brand_description,product_description,product_price
0,2002,Gascoyne,Carnarvon,BP,98 RON,107.774
1,2002,Gascoyne,Carnarvon,BP,Diesel,99.916
2,2002,Gascoyne,Carnarvon,BP,LPG,69.768
3,2002,Gascoyne,Carnarvon,BP,ULP,101.492
4,2002,Gascoyne,Carnarvon,Caltex,Diesel,97.756
5,2002,Gascoyne,Carnarvon,Caltex,LPG,68.841
6,2002,Gascoyne,Carnarvon,Caltex,LRP,103.738
7,2002,Gascoyne,Carnarvon,Caltex,PULP,105.506
8,2002,Gascoyne,Carnarvon,Caltex,ULP,100.297
9,2002,Gascoyne,Carnarvon,Independent,Diesel,96.989
10,2002,Gascoyne,Carnarvon,Independent,LRP,101.69
11,2002,Gascoyne,Carnarvon,Independent,PULP,105.186
12,2002,Gascoyne,Carnarvon,Independent,ULP,98.972
13,2002,Goldfields-Esperance,Boulder,BOC,LPG,55.0
14,2002,Goldfields-Esperance,Boulder,BP,98 RON,105.141
15,2002,Goldfields-Esperance,Boulder,BP,Diesel,96.684
16,2002,Goldfields-Esperance,Boulder,BP,LPG,57.847
17,2002,Goldfields-Esperance,Boulder,BP,ULP,96.942
18,2002,Goldfields-Esperance,Boulder,Caltex,Diesel,99.037
19,2002,Goldfields-Esperance,Boulder,Caltex,LRP,103.76
20,2002,Goldfields-Esperance,Boulder,Caltex,PULP,103.793
21,2002,Goldfields-Esperance,Boulder,Caltex,ULP,100.185
22,2002,Goldfields-Esperance,Boulder,Eagle,Diesel,99.323
23,2002,Goldfields-Esperance,Boulder,Eagle,LPG,60.144
24,2002,Goldfields-Esperance,Boulder,Eagle,PULP,103.839
25,2002,Goldfields-Esperance,Boulder,Eagle,ULP,100.384
26,2002,Goldfields-Esperance,Boulder,Shell,Diesel,101.122
27,2002,Goldfields-Esperance,Boulder,Shell,LRP,103.616
28,2002,Goldfields-Esperance,Boulder,Shell,PULP,107.085
29,2002,Goldfields-Esperance,Boulder,Shell,ULP,101.289
30,2002,Goldfields-Esperance,Boulder,United,Diesel,99.916
31,2002,Goldfields-Esperance,Boulder,United,LRP,103.298
32,2002,Goldfields-Esperance,Boulder,United,PULP,104.832
33,2002,Goldfields-Esperance,Boulder,United,ULP,101.065
34,2002,Goldfields-Esperance,Esperance,BP,Diesel,94.499
35,2002,Goldfields-Esperance,Esperance,BP,LPG,61.938
36,2002,Goldfields-Esperance,Esperance,BP,LRP,100.326
37,2002,Goldfields-Esperance,Esperance,BP,PULP,101.565
38,2002,Goldfields-Esperance,Esperance,BP,ULP,95.7
39,2002,Goldfields-Esperance,Esperance,Caltex,Diesel,94.082
40,2002,Goldfields-Esperance,Esperance,Caltex,LPG,61.332
41,2002,Goldfields-Esperance,Esperance,Caltex,LRP,99.229
42,2002,Goldfields-Esperance,Esperance,Caltex,PULP,102.008
43,2002,Goldfields-Esperance,Esperance,Caltex,ULP,95.524
44,2002,Goldfields-Esperance,Esperance,Kleenheat,LPG,60.581
45,2002,Goldfields-Esperance,Esperance,Shell,Diesel,92.956
46,2002,Goldfields-Esperance,Esperance,Shell,LRP,96.581
47,2002,Goldfields-Esperance,Esperance,Shell,PULP,101.133
48,2002,Goldfields-Esperance,Esperance,Shell,ULP,94.431
49,2002,Goldfields-Esperance,Kalgoorlie,BP,Diesel,98.881
50,2002,Goldfields-Esperance,Kalgoorlie,BP,LPG,59.31
51,2002,Goldfields-Esperance,Kalgoorlie,BP,LRP,102.153
52,2002,Goldfields-Esperance,Kalgoorlie,BP,PULP,103.652
53,2002,Goldfields-Esperance,Kalgoorlie,BP,ULP,98.934
54,2002,Goldfields-Esperance,Kalgoorlie,Caltex,Diesel,98.655
55,2002,Goldfields-Esperance,Kalgoorlie,Caltex,LPG,62.849
56,2002,Goldfields-Esperance,Kalgoorlie,Caltex,LRP,103.148
57,2002,Goldfields-Esperance,Kalgoorlie,Caltex,PULP,104.073
58,2002,Goldfields-Esperance,Kalgoorlie,Caltex,ULP,100.389
59,2002,Goldfields-Esperance,Kalgoorlie,Caltex Woolworths,Diesel,99.7
60,2002,Goldfields-Esperance,Kalgoorlie,Caltex Woolworths,LRP,101.736
61,2002,Goldfields-Esperance,Kalgoorlie,Caltex Woolworths,PULP,103.736
62,2002,Goldfields-Esperance,Kalgoorlie,Caltex Woolworths,ULP,97.736
63,2002,Goldfields-Esperance,Kalgoorlie,Gull,Diesel,96.779
64,2002,Goldfields-Esperance,Kalgoorlie,Gull,LRP,100.21
65,2002,Goldfields-Esperance,Kalgoorlie,Gull,PULP,102.522
66,2002,Goldfields-Esperance,Kalgoorlie,Gull,ULP,96.746
67,2002,Goldfields-Esperance,Kalgoorlie,Kleenheat,LPG,58.168
68,2002,Goldfields-Esperance,Kalgoorlie,Shell,Diesel,98.036
